courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Moscow Power,1.0000,6.0000,Standard,All Weather,5.0000,3,127,71.6700,,76.4437,0.0851,199.6868,1.0000,11.0000,0,210.6868,61.0000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,The Untamed (IRE),2.0000,6.0000,Standard,All Weather,5.0000,3,129,71.6700,2.2500,76.4437,0.0851,192.7228,3.0000,11.0000,0,203.7228,54.9000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Blue Deveron,3.0000,6.0000,Standard,All Weather,5.0000,3,129,71.6700,5.0000,76.4437,0.0851,181.7667,3.0000,11.0000,0,192.7667,46.2000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Hallandale Beach,4.0000,6.0000,Standard,All Weather,5.0000,3,129,71.6700,7.5000,76.4437,0.0851,171.8067,3.0000,11.0000,0,182.8067,37.4000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Sargent Dennis (IRE),5.0000,6.0000,Standard,All Weather,5.0000,3,125,71.6700,9.0000,76.4437,0.0851,161.8307,-1.0000,11.0000,0,172.8307,29.2000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Admirable Fellow,6.0000,6.0000,Standard,All Weather,5.0000,3,125,71.6700,9.7500,76.4437,0.0851,158.8427,-1.0000,11.0000,0,169.8427,26.7000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Militzie,7.0000,6.0000,Standard,All Weather,5.0000,3,120,71.6700,9.8500,76.4437,0.0851,153.4443,-6.0000,11.0000,5,164.4443,22.2000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,My Mate Mackley,8.0000,6.0000,Standard,All Weather,5.0000,3,125,71.6700,11.6000,76.4437,0.0851,151.4722,-1.0000,11.0000,0,162.4722,18.6000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Romeos Guardian,9.0000,6.0000,Standard,All Weather,5.0000,3,129,71.6700,12.8500,76.4437,0.0851,150.4922,3.0000,11.0000,0,161.4922,18.0000,high
CHELMSFORD CITY,1,2026-03-26_CHELMSFORD CITY_1,Fenay Bridge (IRE),10.0000,6.0000,Standard,All Weather,5.0000,3,124,71.6700,13.3500,76.4437,0.0851,143.5002,-2.0000,11.0000,5,154.5002,12.8000,high
